		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  272  239  240  288  244  264  232  227 15.169929 0.055924 SUCCESS   0
000000011  250  268  237  253  242  230  229  229  5.912804 0.656999 SUCCESS   1
000000101  259  237  236  245  234  255  251  246  2.585958 0.957602 SUCCESS   2
000000111  236  262  240  258  235  226  239  236  4.656631 0.793566 SUCCESS   3
000001001  242  241  227  249  260  256  233  256  4.190597 0.839531 SUCCESS   4
000001011  262  231  233  240  225  252  258  251  5.508202 0.702131 SUCCESS   5
000001101  242  258  258  259  234  239  264  228  5.908567 0.657473 SUCCESS   6
000001111  251  253  226  262  245  229  247  231  5.016748 0.755785 SUCCESS   7
000010001  230  224  242  218  255  253  249  266  8.434682 0.392200 SUCCESS   8
000010011  255  223  223  238  275  266  249  240 10.680117 0.220491 SUCCESS   9
000010101  244  262  223  242  241  246  234  234  4.188479 0.839730 SUCCESS  10
000010111  229  247  208  248  225  262  276  236 14.084282 0.079595 SUCCESS  11
000011001  230  227  232  249  231  236  201  248 11.763646 0.162065 SUCCESS  12
000011011  236  262  243  269  258  237  271  240  8.423031 0.393275 SUCCESS  13
000011101  241  216  264  256  205  229  247  234 13.587533 0.093170 SUCCESS  14
000011111  245  255  256  244  223  245  232  244  3.618646 0.889789 SUCCESS  15
000100011  228  232  232  214  256  255  257  226  9.384755 0.310885 SUCCESS  16
000100101  243  240  257  241  254  256  230  261  3.883438 0.867484 SUCCESS  17
000100111  251  269  218  241  274  254  247  228 11.085778 0.196886 SUCCESS  18
000101001  234  228  245  229  271  251  241  256  6.407435 0.601692 SUCCESS  19
000101011  266  257  247  264  238  243  258  239  5.529385 0.699782 SUCCESS  20
000101101  258  220  248  215  249  242  263  263 10.077451 0.259632 SUCCESS  21
000101111  214  257  224  219  226  235  265  245 12.531542 0.129017 SUCCESS  22
000110011  250  238  242  248  257  226  232  292 12.815399 0.118361 SUCCESS  23
000110101  238  242  277  229  239  255  246  235  6.706120 0.568646 SUCCESS  24
000110111  227  259  273  257  275  261  248  244 11.723397 0.163978 SUCCESS  25
000111001  256  231  246  258  261  227  239  242  4.737127 0.785267 SUCCESS  26
000111011  260  205  229  228  230  219  248  243 13.212587 0.104741 SUCCESS  27
000111101  236  282  251  247  261  256  227  232 10.261746 0.247133 SUCCESS  28
000111111  248  261  242  239  227  248  249  252  3.069998 0.929888 SUCCESS  29
001000011  251  237  240  219  233  212  251  254  8.671935 0.370722 SUCCESS  30
001000101  224  221  228  249  260  251  235  240  6.876646 0.549998 SUCCESS  31
001000111  234  244  248  221  266  247  239  250  5.083475 0.748618 SUCCESS  32
001001011  239  249  266  231  250  227  213  241  8.503528 0.385890 SUCCESS  33
001001101  252  236  239  242  251  256  239  222  3.655717 0.886774 SUCCESS  34
001001111  233  250  231  249  264  250  225  222  6.944433 0.542640 SUCCESS  35
001010011  233  240  246  236  273  262  250  245  5.926573 0.655457 SUCCESS  36
001010101  245  272  245  261  272  221  264  250 11.882273 0.156534 SUCCESS  37
001010111  242  251  227  254  251  256  251  230  3.718208 0.881611 SUCCESS  38
001011011  238  254  257  250  227  250  251  257  3.711853 0.882141 SUCCESS  39
001011101  239  237  251  258  247  240  209  257  7.378692 0.496379 SUCCESS  40
001011111  226  248  222  237  256  235  248  249  4.858932 0.772542 SUCCESS  41
001100101  242  239  220  272  234  231  224  243  8.773615 0.361752 SUCCESS  42
001100111  239  236  258  229  265  236  229  274  9.052177 0.337914 SUCCESS  43
