2025-05-21 19:33:24 WARN  main.c:51: хэш-сумма расходится в байтовой позиции i=0
2025-05-21 19:34:15 INFO  main.c:98: учетная запись `gbgyo` получила доступ
2025-05-21 19:34:15 INFO  main.c:198: файл log.c открыт на чтение; размер: 4172 байт
2025-05-21 19:34:15 INFO  main.c:211: файл log.c.enc открыт на запись; размер: 0 байт
2025-05-21 19:34:15 INFO  main.c:218: успешно зашифровано 4172 байт
2025-05-21 19:46:06 WARN  main.c:95: неизвестная учетная запись `serega` попыталась получить доступ
2025-05-21 19:47:29 INFO  main.c:102: учетная запись `gbgyo` получила доступ
2025-05-21 19:47:29 INFO  main.c:197: файл log.c открыт на чтение; размер: 4172 байт
2025-05-21 19:47:29 INFO  main.c:210: файл log.c.enc открыт на запись; размер: 0 байт
2025-05-21 19:47:29 INFO  main.c:217: успешно зашифровано 4172 байт
2025-05-21 19:47:34 INFO  main.c:102: учетная запись `gbgyo` получила доступ
2025-05-21 19:47:34 INFO  main.c:197: файл log.c.enc открыт на чтение; размер: 4172 байт
2025-05-21 19:47:34 INFO  main.c:210: файл log.c.dec открыт на запись; размер: 0 байт
2025-05-21 19:47:34 INFO  main.c:217: успешно зашифровано 4172 байт
2025-05-23 18:31:25 WARN  main.c:95: неизвестная учетная запись `crypto_admin` попыталась получить доступ
2025-05-23 18:31:37 INFO  main.c:102: учетная запись `gbgyo` получила доступ
2025-05-23 18:31:37 INFO  main.c:197: файл main.c открыт на чтение; размер: 6239 байт
2025-05-23 18:31:37 INFO  main.c:210: файл main.c.enc открыт на запись; размер: 0 байт
2025-05-23 18:31:37 INFO  main.c:217: успешно зашифровано 6239 байт
2025-05-23 18:31:42 WARN  main.c:95: неизвестная учетная запись `serega` попыталась получить доступ
2025-05-23 19:23:45 WARN  main.c:52: хэш-сумма расходится в байтовой позиции i=0
