		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 36.605469	M = 18750	N = 8	m = 9	n = 150000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   33   40   52   48   40   38   39   42 12.417724 0.133517 SUCCESS   0
000000011   26   40   46   37   35   33   43   48 11.261466 0.187320 SUCCESS   1
000000101   48   37   43   40   43   30   35   34  7.803725 0.452874 SUCCESS   2
000000111   27   40   36   40   29   49   45   44 12.774752 0.119838 SUCCESS   3
000001001   37   28   43   33   38   42   44   30  7.271714 0.507621 SUCCESS   4
000001011   40   46   36   35   34   31   36   36  4.001313 0.857005 SUCCESS   5
000001101   35   30   43   40   31   30   45   47  9.947436 0.268735 SUCCESS   6
000001111   34   40   36   28   37   46   34   45  7.298413 0.504805 SUCCESS   7
000010001   33   30   33   36   37   41   35   30  3.832067 0.871948 SUCCESS   8
000010011   44   25   42   37   45   37   35   34  8.434150 0.392249 SUCCESS   9
000010101   48   36   42   45   47   48   25   32 17.611838 0.024332 SUCCESS  10
000010111   44   45   34   39   30   25   36   39  9.097233 0.334160 SUCCESS  11
000011001   37   38   34   48   36   37   28   30  7.256929 0.509183 SUCCESS  12
000011011   44   35   32   36   37   37   37   32  2.838876 0.944058 SUCCESS  13
000011101   37   32   34   35   34   38   38   36  1.179955 0.996836 SUCCESS  14
000011111   32   34   42   23   40   37   33   46 10.030845 0.262868 SUCCESS  15
000100011   35   35   45   42   45   30   34   36  6.382675 0.604449 SUCCESS  16
000100101   33   37   34   44   40   37   38   34  2.684194 0.952588 SUCCESS  17
000100111   50   23   45   39   36   23   36   35 17.769831 0.023020 SUCCESS  18
000101001   40   29   42   37   30   44   31   33  6.816933 0.556507 SUCCESS  19
000101011   32   32   34   33   36   43   36   36  2.943028 0.937882 SUCCESS  20
000101101   34   47   33   32   35   47   38   37  7.393518 0.494830 SUCCESS  21
000101111   37   40   37   39   32   34   37   32  1.890480 0.984187 SUCCESS  22
000110011   39   41   30   39   41   44   33   31  5.446194 0.708994 SUCCESS  23
000110101   35   35   46   36   40   29   43   39  5.924805 0.655655 SUCCESS  24
000110111   33   42   34   36   32   32   31   35  3.549622 0.895305 SUCCESS  25
000111001   34   28   45   43   33   39   34   38  6.204382 0.624350 SUCCESS  26
000111011   43   40   30   36   36   35   38   33  3.228341 0.919221 SUCCESS  27
000111101   43   37   24   26   44   47   45   42 16.232493 0.039171 SUCCESS  28
000111111   45   42   37   26   42   30   26   49 15.563673 0.049068 SUCCESS  29
001000011   44   28   35   37   40   43   33   35  5.633534 0.688205 SUCCESS  30
001000101   26   44   19   32   24   48   45   37 24.224575 0.002101 FAILURE  31
001000111   29   30   36   37   40   46   32   45  8.288515 0.405807 SUCCESS  32
001001011   40   43   31   31   44   43   39   32  6.715651 0.567599 SUCCESS  33
001001101   28   35   45   45   42   41   39   46 10.167213 0.253485 SUCCESS  34
001001111   49   38   44   51   38   24   50   33 21.768189 0.005364 FAILURE  35
001010011   40   35   32   43   27   43   35   43  7.140862 0.521514 SUCCESS  36
001010101   39   30   39   43   46   42   31   39  7.075326 0.528528 SUCCESS  37
001010111   28   37   30   37   30   37   25   32  8.972781 0.344597 SUCCESS  38
001011011   39   51   40   35   27   37   38   31  9.965309 0.267469 SUCCESS  39
001011101   42   40   44   42   33   38   34   38  4.182475 0.840296 SUCCESS  40
001011111   31   45   45   41   37   30   47   43 10.856996 0.209934 SUCCESS  41
001100101   37   46   48   44   46   30   36   30 12.676558 0.123473 SUCCESS  42
001100111   33   26   26   40   38   45   30   30 11.556268 0.172127 SUCCESS  43
001101011   39   36   41   41   37   45   38   41  3.858325 0.869674 SUCCESS  44
001101101   41   35   22   30   41   35   34   38  8.740647 0.364645 SUCCESS  45
001101111   36   42   36   49   40   33   31   34  6.953522 0.541656 SUCCESS  46
001110101   43   30   34   34   39   29   27   53 14.764001 0.063900 SUCCESS  47
001110111   48   48   31   38   31   39   33   43 10.848170 0.210451 SUCCESS  48
001111011   43   42   38   38   31   32   46   36  6.076399 0.638674 SUCCESS  49
001111101   49   31   44   31   39   30   49   47 16.443444 0.036455 SUCCESS  50
001111111   43   38   35   30   42   38   32   46  6.483737 0.593212 SUCCESS  51
010000011   44   36   31   39   38   32   32   41  4.402693 0.819088 SUCCESS  52
010000111   43   19   34   39   41   36   32   32 12.017005 0.150447 SUCCESS  53
010001011   35   46   37   37   35   35   37   45  4.714706 0.787588 SUCCESS  54
010001111   37   37   35   34   42   46   42   48  8.077122 0.425973 SUCCESS  55
010010011   29   28   37   48   28   40   37   44 11.362749 0.181980 SUCCESS  56
010010111   29   38   35   38   41   50   44   30 10.206049 0.250861 SUCCESS  57
010011011   29   40   33   39   48   37   35   32  6.831718 0.554893 SUCCESS  58
010011111   46   37   44   53   41   28   44   31 16.702057 0.033365 SUCCESS  59
010100011   40   46   28   30   29   31   32   30 10.494893 0.231993 SUCCESS  60
010100111   49   35   40   45   33   31   34   39  8.335956 0.401360 SUCCESS  61
010101011   37   37   51   34   39   45   34   42  9.218817 0.324175 SUCCESS  62
010101111   35   31   30   32   38   37   33   41  3.763662 0.877792 SUCCESS  63
010110011   44   31   36   43   43   40   31   39  6.126930 0.633016 SUCCESS  64
010110111   30   36   37   33   34   40   34   31  3.210688 0.920448 SUCCESS  65
010111011   34   37   39   41   25   36   40   38  5.098434 0.747005 SUCCESS  66
010111111   43   41   32   41   41   37   42   41  4.762148 0.782669 SUCCESS  67
011000111   38   48   42   29   36   40   44   29  9.691691 0.287335 SUCCESS  68
011001111   33   28   29   39   37   48   33   28 10.384784 0.239051 SUCCESS  69
011010111   33   39   39   32   35   46   44   42  6.222034 0.622376 SUCCESS  70
011011111   40   41   38   39   37   35   29   38  2.853660 0.943203 SUCCESS  71
011101111   40   42   26   39   30   41   35   38  6.391722 0.603441 SUCCESS  72
011111111   43   30   31   31   36   38   35   43  5.455241 0.707994 SUCCESS  73
100000000   33   40   52   48   40   38   39   42 12.417724 0.133517 SUCCESS  74
100010000   34   42   36   36   40   34   32   31  3.038132 0.931942 SUCCESS  75
100100000   42   41   26   38   39   34   33   43  6.474911 0.594192 SUCCESS  76
100101000   33   42   28   42   41   36   41   31  6.091404 0.636994 SUCCESS  77
100110000   37   38   32   31   28   38   36   42  4.524718 0.806955 SUCCESS  78
100111000   40   37   42   36   29   43   26   31  8.015117 0.431995 SUCCESS  79
101000000   41   24   46   37   37   35   44   47 12.203904 0.142335 SUCCESS  80
101000100   31   44   29   35   53   34   35   24 16.482501 0.035972 SUCCESS  81
101001000   38   38   39   38   38   42   40   45  3.519391 0.897679 SUCCESS  82
101001100   40   38   29   24   35   36   39   39  6.909169 0.546464 SUCCESS  83
101010000   39   31   39   43   47   39   32   38  6.233950 0.621044 SUCCESS  84
101010100   39   29   30   33   52   36   37   31 10.991157 0.202201 SUCCESS  85
101011000   45   30   47   44   37   39   37   34  8.181274 0.415966 SUCCESS  86
101011100   35   51   35   36   39   49   29   40 12.468476 0.131494 SUCCESS  87
101100000   44   30   48   41   36   44   40   33  9.236690 0.322724 SUCCESS  88
101100100   38   36   28   32   41   32   40   37  4.230358 0.835765 SUCCESS  89
101101000   36   40   39   29   33   30   28   43  6.977574 0.539054 SUCCESS  90
101101100   30   35   28   31   23   39   36   28 11.776486 0.161459 SUCCESS  91
101110000   36   41   50   43   32   35   27   52 16.749720 0.032823 SUCCESS  92
101110100   38   43   46   40   30   25   40   25 13.194226 0.105339 SUCCESS  93
101111000   34   40   29   36   40   39   36   38  2.713983 0.951006 SUCCESS  94
101111100   30   28   46   42   34   30   37   43  9.222127 0.323906 SUCCESS  95
110000000   40   37   41   42   39   34   46   36  4.554066 0.804000 SUCCESS  96
110000010   32   39   37   32   35   38   39   34  1.845907 0.985377 SUCCESS  97
110000100   34   36   37   44   42   35   31   38  3.588017 0.892252 SUCCESS  98
110001000   30   47   49   33   35   32   37   43 10.821470 0.212022 SUCCESS  99
110001010   38   35   39   35   22   43   33   37  7.914055 0.441910 SUCCESS 100
110010000   32   35   32   45   34   40   31   39  4.827905 0.775802 SUCCESS 101
110010010   36   35   31   42   32   38   40   39  2.933981 0.938432 SUCCESS 102
110010100   37   37   38   46   36   44   42   37  4.937573 0.764227 SUCCESS 103
110011000   37   36   37   29   29   31   39   33  4.703232 0.788773 SUCCESS 104
110011010   42   46   39   39   48   49   35   28 13.809205 0.086876 SUCCESS 105
110100000   42   35   52   29   31   28   33   45 14.558787 0.068314 SUCCESS 106
110100010   36   33   41   30   38   34   33   36  2.779519 0.947423 SUCCESS 107
110100100   35   34   41   43   44   51   36   44 10.916354 0.206484 SUCCESS 108
110101000   37   35   27   44   45   34   27   40  9.341062 0.314346 SUCCESS 109
110101010   37   36   42   24   45   39   40   34  7.994154 0.434041 SUCCESS 110
110101100   46   28   31   40   34   45   34   38  8.226068 0.411705 SUCCESS 111
110110000   42   32   35   37   42   33   49   28  9.117975 0.332442 SUCCESS 112
110110010   33   31   26   39   36   29   26   30 10.646707 0.222532 SUCCESS 113
110110100   48   36   40   33   39   33   35   40  5.297469 0.725360 SUCCESS 114
110111000   35   43   40   43   34   28   36   47  8.053512 0.428260 SUCCESS 115
110111010   33   45   38   30   38   27   35   24 10.866485 0.209380 SUCCESS 116
110111100   39   35   33   40   32   32   38   34  2.372180 0.967425 SUCCESS 117
111000000   33   33   41   33   40   43   40   34  3.644506 0.887690 SUCCESS 118
111000010   37   36   30   43   40   44   34   42  5.285554 0.726665 SUCCESS 119
111000100   34   40   43   43   31   37   37   43  4.878215 0.770510 SUCCESS 120
111000110   41   40   28   45   33   29   22   30 14.211248 0.076423 SUCCESS 121
111001000   37   38   32   37   32   41   33   41  2.719941 0.950686 SUCCESS 122
111001010   29   36   34   39   32   42   33   37  3.790362 0.875525 SUCCESS 123
111001100   29   29   33   40   41   32   30   28  8.428634 0.392758 SUCCESS 124
111010000   52   32   40   36   37   33   31   38  8.942551 0.347166 SUCCESS 125
111010010   30   36   39   40   43   46   50   39 10.607209 0.224963 SUCCESS 126
111010100   39   38   31   39   47   30   23   42 11.600620 0.169932 SUCCESS 127
111010110   35   36   32   26   29   37   33   42  6.686303 0.570825 SUCCESS 128
111011000   34   34   31   32   32   39   50   35  7.771288 0.456124 SUCCESS 129
111011010   29   34   36   35   34   38   39   40  2.642710 0.954744 SUCCESS 130
111011100   42   45   37   46   38   30   39   44  8.303078 0.404438 SUCCESS 131
111100000   34   28   41   36   45   43   42   31  7.693836 0.463934 SUCCESS 132
111100010   34   43   43   36   29   34   32   44  6.480868 0.593531 SUCCESS 133
111100100   35   39   33   49   29   37   38   44  8.178405 0.416240 SUCCESS 134
111100110   28   45   35   35   51   37   39   33 10.613388 0.224582 SUCCESS 135
111101000   49   31   36   37   40   46   42   54 17.427366 0.025954 SUCCESS 136
111101010   41   39   35   31   37   30   35   38  3.032174 0.932322 SUCCESS 137
111101100   38   40   25   37   36   32   40   30  6.356196 0.607399 SUCCESS 138
111101110   34   37   34   38   45   31   43   31  5.363005 0.718166 SUCCESS 139
111110000   35   27   44   31   45   43   40   38  8.636275 0.373902 SUCCESS 140
111110010   37   35   35   52   35   40   30   37  8.478723 0.388156 SUCCESS 141
111110100   49   40   45   37   36   38   42   44  9.090834 0.334691 SUCCESS 142
111110110   36   38   34   32   40   24   39   34  6.023220 0.644631 SUCCESS 143
111111000   44   35   32   41   44   37   32   39  5.071513 0.749906 SUCCESS 144
111111010   43   34   43   40   36   33   28   35  5.368963 0.717510 SUCCESS 145
111111100   46   36   33   31   39   40   38   48  7.967234 0.436677 SUCCESS 146
111111110   43   30   31   31   36   38   35   43  5.455241 0.707994 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 36.605469	M = 18750	N = 8	m = 9	n = 150000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   33   34   29   46   40   33   35   34  5.642581 0.687197 SUCCESS   0
000000011   34   32   32   38   33   44   36   38  3.421639 0.905185 SUCCESS   1
000000101   37   53   46   41   37   26   41   22 20.385975 0.008970 FAILURE   2
000000111   40   38   35   46   35   42   42   37  4.667044 0.792498 SUCCESS   3
000001001   39   31   30   26   36   32   33   38  6.490136 0.592502 SUCCESS   4
000001011   33   39   36   42   39   29   28   25  9.052881 0.337855 SUCCESS   5
000001101   38   33   33   33   40   28   38   36  3.638768 0.888157 SUCCESS   6
000001111   40   43   33   49   35   43   38   33  7.836382 0.449614 SUCCESS   7
000010001   48   38   32   38   36   51   41   50 15.851634 0.044554 SUCCESS   8
000010011   31   34   36   26   40   36   39   38  4.819078 0.776727 SUCCESS   9
000010101   49   48   37   34   36   31   44   29 12.278267 0.139213 SUCCESS  10
000010111   31   36   37   36   42   38   27   27  7.001405 0.536481 SUCCESS  11
000011001   27   38   29   34   42   42   38   37  6.189597 0.626003 SUCCESS  12
000011011   42   35   28   36   36   30   38   42  5.116307 0.745076 SUCCESS  13
000011101   40   30   38   41   24   31   48   48 14.867932 0.061765 SUCCESS  14
000011111   39   36   33   34   21   27   36   37 10.230322 0.249231 SUCCESS  15
000100011   35   35   37   33   44   56   48   43 17.507687 0.025236 SUCCESS  16
000100101   27   37   33   48   35   36   25   30 11.764350 0.162032 SUCCESS  17
000100111   29   27   41   34   30   40   44   36  8.089479 0.424779 SUCCESS  18
000101001   43   36   35   39   29   34   41   37  3.775357 0.876801 SUCCESS  19
000101011   40   36   37   36   34   30   35   32  2.446543 0.964177 SUCCESS  20
000101101   34   37   41   36   38   30   34   39  2.392923 0.966537 SUCCESS  21
000101111   31   42   31   39   40   30   26   36  7.503848 0.483370 SUCCESS  22
000110011   29   31   38   34   33   46   44   39  7.334160 0.501045 SUCCESS  23
000110101   32   46   39   30   31   30   36   43  7.771288 0.456124 SUCCESS  24
000110111   31   36   30   35   40   45   47   33  7.937665 0.439583 SUCCESS  25
000111001   28   38   32   28   39   48   36   35  8.749473 0.363869 SUCCESS  26
000111011   31   37   32   40   33   30   40   33  4.108553 0.847199 SUCCESS  27
000111101   45   37   40   44   39   46   39   37  6.685641 0.570898 SUCCESS  28
000111111   44   41   37   42   19   40   46   36 14.499209 0.069646 SUCCESS  29
001000011   44   37   40   44   35   30   36   39  4.896089 0.768622 SUCCESS  30
001000101   41   40   32   43   34   39   37   41  3.528439 0.896971 SUCCESS  31
001000111   31   26   37   40   34   36   44   45  8.130963 0.420783 SUCCESS  32
001001011   34   27   29   41   34   33   26   39  8.874587 0.352986 SUCCESS  33
001001101   38   37   30   30   37   28   30   42  6.674387 0.572136 SUCCESS  34
001001111   31   38   47   29   36   38   34   45  7.875219 0.445753 SUCCESS  35
001010011   45   30   36   30   38   43   38   38  5.785128 0.671286 SUCCESS  36
001010101   36   42   30   31   40   29   38   26  8.143100 0.419618 SUCCESS  37
001010111   31   30   28   31   34   30   29   26 11.333622 0.183503 SUCCESS  38
001011011   28   33   40   36   37   35   29   43  5.660455 0.685205 SUCCESS  39
001011101   52   35   30   35   36   39   21   28 17.213988 0.027956 SUCCESS  40
001011111   34   44   28   45   38   35   40   42  7.093200 0.526611 SUCCESS  41
001100101   41   39   47   31   38   34   38   42  5.770123 0.672964 SUCCESS  42
001100111   33   36   36   33   41   45   49   33  7.997023 0.433761 SUCCESS  43
001101011   38   46   33   25   34   37   31   30  9.035007 0.339351 SUCCESS  44
001101101   42   35   45   41   48   40   43   32  9.177112 0.327576 SUCCESS  45
001101111   26   30   30   40   38   27   31   36  9.525755 0.299900 SUCCESS  46
001110101   30   29   35   35   29   34   52   49 15.869949 0.044280 SUCCESS  47
001110111   28   28   31   41   38   40   43   28  9.243089 0.322206 SUCCESS  48
001111011   44   42   39   38   35   43   36   38  3.876199 0.868117 SUCCESS  49
001111101   42   37   39   30   32   38   36   39  3.046959 0.931376 SUCCESS  50
001111111   44   34   41   37   34   37   40   40  3.133016 0.925735 SUCCESS  51
010000011   34   40   36   44   34   39   32   41  3.570143 0.893678 SUCCESS  52
010000111   49   33   44   34   31   32   36   39  8.101174 0.423650 SUCCESS  53
